State,County,Democratic,Republican,Party
NV,eureka,6554,7835,0
TX,zavala,0,4878,1
VA,king george,7931,17140,0
OH,hamilton,171680,112207,1
TX,austin,8270,4562,0
MI,barry,11117,14116,0
NM,valencia,0,18142,1
TX,ellis,32419,28087,0
NJ,mercer,104044,54625,1
PA,cambria,27288,29167,0
IN,switzerland,0,0,0
NV,lander,0,15806,0
NE,cherry,4690,7242,0
VA,radford city,0,2116,1
FL,lee,151373,98789,0
MI,arenac,1314,3554,0
TX,shackelford,0,1996,0
NJ,gloucester,65502,61810,0
OH,trumbull,42951,35068,0
OH,lawrence,11396,16381,0
ND,burke,0,5490,0
TX,hardeman,1272,0,0
NE,keya paha,0,0,0
VA,norton city,9516,5143,0
ND,bowman,0,6066,0
UT,duchesne,0,5910,0
MN,carlton,6677,12497,0
FL,okaloosa,43870,37091,1
TX,oldham,0,634,0
MT,lewis and clark,14058,27152,0
NY,rockland,88855,58382,1
TX,waller,12728,0,0
VA,falls church city,27753,45887,1
PA,potter,1984,488,0
MI,gratiot,1802,7086,0
MI,shiawassee,12156,15795,0
MN,polk,4976,11451,0
ND,billings,0,11913,0
ND,mckenzie,0,7603,0
WY,weston,6395,7889,0
MT,jefferson,3213,11831,0
VT,bennington,9724,16423,0
FL,clay,47156,36566,1
AZ,yuma,43838,22216,1
TX,terrell,0,0,0
MA,bristol,128251,86130,1
WV,webster,0,3801,0
TX,collingsworth,2476,0,0
NY,chautauqua,23611,24960,0
TN,fayette,13352,5034,0
TX,bandera,2347,9763,0
NJ,union,146503,66799,1
TX,sherman,4572,0,0
NY,seneca,6221,12450,0
TX,martin,0,905,0
UT,tooele,7094,20599,0
MD,talbot,16343,19786,1
FL,highlands,24378,22287,0
IN,gibson,5635,8706,0
MD,allegany,12764,18614,0
MI,mecosta,2685,8598,0
TX,jasper,7434,0,0
DE,new castle,126888,80224,1
VA,warren,10458,18328,0
OH,ashtabula,18181,18849,0
WV,ohio,10778,16168,0
NM,bernalillo,128511,97286,1
FL,calhoun,1461,2882,0
NM,torrance,0,0,0
UT,box elder,3666,15064,0
FL,columbia,13671,7909,0
TX,edwards,0,0,0
MI,iron,3165,5114,0
IN,bartholomew,27037,16124,1
MT,treasure,0,0,0
FL,liberty,0,0,0
WV,brooke,5616,12362,0
TX,ward,0,9787,0
WA,skamania,7040,1691,0
VA,caroline,11317,236,0
VA,floyd,5203,4790,0
MI,dickinson,5426,14578,0
MA,dukes,20755,15441,1
MT,richland,860,12368,0
TX,trinity,4864,22,0
TN,clay,1578,417,0
NE,howard,0,1562,0
WV,putnam,13497,20284,0
WY,laramie,14439,28155,0
VT,lamoille,8869,4243,0
WI,green,10106,11879,0
TX,childress,0,744,0
MA,hampden,96421,71223,1
FL,hardee,0,0,0
OH,allen,19197,19780,0
NM,colfax,0,8549,0
NV,pershing,0,0,0
WI,vilas,6292,7294,0
TX,gillespie,7661,17247,0
WV,cabell,19074,21493,0
TX,cameron,72858,48331,1
MI,clare,3951,9718,0
UT,davis,64100,62608,0
NY,dutchess,72351,53497,1
TX,motley,0,4603,0
VA,henrico,87629,45836,1
MN,grant,0,3998,0
VA,rappahannock,8681,7045,0
NM,taos,0,7905,1
TX,smith,47267,28309,0
